date,instrument,open,high,low,close,volume,open_interest
2011-03-17,si1s,13.68724028,13.88331535,13.46115372,13.7084484,202287.52277902,192476.28053814
2011-03-18,cl1s,77.53242894,78.84474826,76.18239929,76.81593276,286133.83461472,466927.81967859
2011-03-18,es1s,998.70466318,1013.66358206,993.19348254,1003.23170442,1889211.52825883,3259121.62425026
2011-03-18,fesx1s,2850.48329929,2882.88703316,2823.3059741,2840.03048191,1792156.0,2009833.0
2011-03-18,gc1s,650.78997056,659.68396119,649.53925313,655.97813176,273668.28924347,485727.69864281
2011-03-18,hg1s,5.79516345,5.83248281,5.73318666,5.78316794,21530.80876401,63800.12974346
2011-03-18,ho1s,3.15298497,3.19354246,3.09338398,3.11314804,40397.20874916,47708.41962464
2011-03-18,ng1s,0.02339974,0.02361349,0.02305662,0.02344474,19332124.185835,13923353.4603578
2011-03-18,nq1s,1663.64548061,1684.76342481,1655.7963332,1660.65532922,335074.0,375884.0
2011-03-18,pl1s,1835.09680125,1861.00405021,1835.09680125,1860.35636899,5936.25360393,17157.51451285
2011-03-18,rb1s,7.42124768,7.53895344,7.35057392,7.41797808,10881.16316337,17779.55103506
2011-03-18,si1s,13.71725177,14.17542719,13.70124564,14.02857096,141888.15606484,189030.10044385
2011-03-21,cl1s,77.69835437,78.64111251,77.38158764,77.75114883,304077.19610867,482256.51266843
2011-03-21,es1s,1004.80632746,1020.55255786,1003.62536018,1017.99379542,1831281.47282488,3243724.92333661
2011-03-21,fesx1s,2860.93611667,2917.38133051,2858.84555319,2905.8832314,1139277.0,2040863.0
2011-03-21,gc1s,659.73028406,664.77947665,659.40602398,660.74938715,249753.53501545,476004.63915166
2011-03-21,hg1s,5.80649254,5.82248655,5.68653746,5.71252772,21040.12510608,65492.01299825
2011-03-21,ho1s,3.12272125,3.16945502,3.12272125,3.1421765,27333.00945956,43624.40015606
2011-03-21,ng1s,0.02344474,0.02379349,0.02315224,0.02340537,18854963.3711104,11869464.1561427
2011-03-21,nq1s,1661.77663599,1698.03222161,1658.7864846,1685.3240782,286642.0,371710.0
2011-03-21,pl1s,1860.35636899,1894.14373951,1860.35636899,1883.56494618,5454.53514668,15973.59876599
2011-03-21,rb1s,7.49418501,7.57290703,7.49418501,7.53870194,10970.22592321,15994.71742376
2011-03-21,si1s,14.14741646,14.52155971,14.14741646,14.40591543,145106.9232595,189564.89561439
2011-03-22,cl1s,77.48717655,79.34252456,77.00448439,79.16905706,388235.84416199,489495.9092366
2011-03-22,es1s,1017.60013966,1020.74938574,1013.66358206,1014.2540657,2461936.54055667,3262873.63336582
2011-03-22,fesx1s,2915.29076704,2934.10583832,2891.24928707,2904.83794966,1140229.0,1964652.0
2011-03-22,gc1s,661.16629296,663.48243635,657.55310927,661.30526156,234175.91572413,449166.92254554
2011-03-22,hg1s,5.72652248,5.75717767,5.69253521,5.74851425,15732.63856754,64158.76397662
2011-03-22,ho1s,3.13579436,3.18077818,3.12663289,3.16657276,21265.26787993,37789.80906941
2011-03-22,ng1s,0.02337724,0.02401286,0.02334912,0.02392849,15676083.8897057,9681884.48953095
2011-03-22,nq1s,1686.63226943,1692.61257222,1681.3995045,1687.37980728,370799.0,367550.0
2011-03-22,pl1s,1880.65671415,1887.44258889,1870.96260738,1877.85619441,4146.23037864,16476.29881991
2011-03-22,rb1s,7.52688106,7.60208196,7.48010056,7.55655901,11606.78609512,13481.47766947
2011-03-22,si1s,14.4515329,14.59558805,14.30947851,14.51315649,126771.44584704,192676.20396638
2011-03-23,cl1s,79.07855228,80.20231998,78.72407522,79.75733814,317736.58501805,482153.09271746
2011-03-23,es1s,1013.86040994,1020.35572998,1006.97143414,1017.2064839,2322560.96023526,3286528.81879857
2011-03-23,fesx1s,2896.47569576,2922.6077392,2881.84175143,2913.20020356,1291268.0,1960613.0
2011-03-23,gc1s,661.90745885,667.60517159,660.47144994,666.12283982,258716.71063874,410153.79396559
2011-03-23,hg1s,5.74185008,5.91911704,5.71785906,5.90245661,26012.23611696,64963.06501837
2011-03-23,ho1s,3.16945502,3.18952789,3.13126509,3.14474995,26773.44827642,30432.93955572
2011-03-23,ng1s,0.02401286,0.02446848,0.02392849,0.02438411,19523059.6236197,8064799.99968935
2011-03-23,nq1s,1686.44538497,1700.46171962,1668.50447662,1693.1732256,387102.0,381050.0
2011-03-23,pl1s,1876.02508536,1904.2457073,1873.87083941,1900.26035229,3358.01954311,18940.27003015
2011-03-23,rb1s,7.59277616,7.63326896,7.53845043,7.59881236,9361.13222196,12893.82249516
2011-03-23,si1s,14.56357579,14.98173589,14.46553826,14.88489881,145389.31510189,195944.9520181
2011-03-24,cl1s,79.58387064,80.46629225,79.0106737,79.64420716,325528.88055489,480397.60534452
2011-03-24,es1s,1017.2064839,1028.81932882,1015.04137722,1027.63836154,2087246.22739684,3306866.38479669
2011-03-24,fesx1s,2911.10964009,2972.78126262,2894.38513228,2963.37372698,1399821.0,1943183.0
2011-03-24,gc1s,666.12283982,671.03306381,659.49866972,664.68683092,373426.79327222,352484.65292506
2011-03-24,hg1s,5.89779169,5.9371103,5.85380816,5.89712527,21524.05623661,65190.4001076
2011-03-24,ho1s,3.1438286,3.16031041,3.10390372,3.15171121,52285.06252179,88676.05213762
2011-03-24,ng1s,0.02443385,0.02475993,0.02372642,0.02391433,18019387.8614268,46662161.031552
2011-03-24,nq1s,1693.1732256,1729.42881123,1691.11749652,1725.69112199,343773.0,392554.0
2011-03-24,pl1s,1899.29094162,1909.20047298,1889.91997173,1900.26035229,3076.71461595,20814.70781216
2011-03-24,rb1s,7.59881236,7.67232659,7.52404362,7.65451256,16554.2844193,39610.71392145
2011-03-24,si1s,14.97173206,15.27784926,14.7456455,14.95572593,153571.18140262,196149.87353205
2011-03-25,cl1s,79.53861825,79.90817944,78.81458,79.49336586,291400.29673353,471329.79707901
2011-03-25,es1s,1027.0478779,1034.9209931,1026.65422214,1031.37809126,1623854.04944529,3300347.99929192
2011-03-25,fesx1s,2975.91710784,2980.09823479,2952.9209096,2966.5095722,772714.0,1937272.0
2011-03-25,gc1s,664.03831077,666.16916269,658.71118096,660.65674141,372880.62674219,264104.97806545
2011-03-25,hg1s,5.89579244,5.93644388,5.863138,5.88979468,19494.54661168,63626.81487345
2011-03-25,ho1s,3.16031041,3.17044519,3.13819817,3.14434046,39159.33837223,90694.19205672
2011-03-25,ng1s,0.02376511,0.02495336,0.02376511,0.02481519,14558052.8767489,47167157.6830019
2011-03-25,nq1s,1723.44850844,1745.50087496,1722.32720167,1732.04519369,275311.0,404260.0
2011-03-25,pl1s,1893.58218985,1895.6287235,1883.02638469,1884.64206916,4304.05822557,23380.80292335
2011-03-25,rb1s,7.65651977,7.69892218,7.62616065,7.65125084,14107.11200243,40220.11565197
2011-03-25,si1s,14.86969299,15.12379028,14.7576501,14.82527599,233065.73455658,191021.83759769
2011-03-28,cl1s,79.51599206,79.7648802,78.13579415,78.42239262,280497.44728664,465507.78419791
2011-03-28,es1s,1030.78760762,1035.51147674,1025.0795991,1025.27642698,1966248.37892823,3342295.81684464
2011-03-28,fesx1s,2962.32844525,2978.00767131,2949.78506439,2965.46429046,699187.0,1972586.0
2011-03-28,gc1s,661.76739999,663.29455553,653.20607348,657.74126266,214676.95447471,601567.40874124
2011-03-28,hg1s,5.90112378,5.91178645,5.77317168,5.79782912,19368.4994335,63125.62728401
2011-03-28,ho1s,3.14894718,3.16123176,3.10748672,3.1133219,46714.17580415,96337.36452171
2011-03-28,ng1s,0.02499758,0.02519654,0.02432884,0.02458307,21932342.925653,46521029.7566932
2011-03-28,nq1s,1731.48454031,1740.64187895,1715.41247658,1716.16001443,295837.0,401104.0
2011-03-28,pl1s,1884.64206916,1891.4279439,1862.13019898,1887.2271643,6853.44215296,25308.15945404
2011-03-28,rb1s,7.68135905,7.6873807,7.56644602,7.59630334,13771.52256025,41096.9526743
2011-03-28,si1s,14.94172057,14.97773436,14.57958192,14.84088196,177274.60286333,193328.45415101
2011-03-29,cl1s,78.39222436,79.19168326,77.45700829,79.03329989,311726.29479031,465120.62233016
2011-03-29,es1s,1025.67008274,1037.47975554,1023.70180394,1036.49561614,1781166.62121221,3366962.03790907
2011-03-29,fesx1s,2964.41900872,2973.82654436,2933.06055658,2963.37372698,907241.0,1977965.0
2011-03-29,gc1s,658.29659195,659.31469564,653.48373813,655.98271992,267596.90792158,693968.8023444
2011-03-29,hg1s,5.79916195,5.8244858,5.72119115,5.7931642,21656.8559422,61942.43442688
2011-03-29,ho1s,3.11106972,3.14157643,3.08987882,3.12980371,49434.65967381,102765.91186325
2011-03-29,ng1s,0.02438963,0.0246107,0.0235164,0.02356062,22830516.8338569,45976407.7857637
2011-03-29,nq1s,1716.90755227,1737.83861202,1711.48790288,1736.15665186,242962.0,420763.0
2011-03-29,pl1s,1881.94926172,1891.4279439,1873.11685333,1878.6101805,6054.09052824,27068.4041468
2011-03-29,rb1s,7.60031777,7.66229052,7.54486847,7.63644763,16176.44737513,41554.90073732
2011-03-29,si1s,14.87369452,14.90570678,14.61759648,14.80046649,150972.1768355,192501.27096667
2011-03-30,cl1s,78.77686968,79.30481423,78.01512111,78.64111251,317413.06619706,459539.922668
